,weight,safe_distance,x,y,z,radii
0,1e-10,4.5,97,-54,39,6
1,1e-10,4.5,-28,-39,46,3
2,1e-10,4.5,42,12,37,6
3,1e-10,4.5,117,-5,25,8
4,1e-10,4.5,-8,13,77,9
5,1e-10,4.5,120,65,72,3
6,1e-10,4.5,28,-17,9,5
7,1e-10,4.5,-66,118,20,6
