,x,y,z,phi,theta,psi,v_cmd,idx
232,"[-166.01550293 -163.01889174 -160.02391597 -157.03141789 -154.04225477
 -151.0574648  -148.07824804 -145.10596826 -142.14214869 -139.18846618
 -136.24672202 -133.40205445 -130.78981018 -128.58352464 -127.05182626
 -125.53411582]","[-107.85419464 -107.71632835 -107.54467412 -107.33446138 -107.08124544
 -106.78089844 -106.42959549 -106.02380543 -105.56028326 -105.03606399
 -104.44856197 -103.81426441 -103.16933182 -102.56931212 -102.10722028
 -101.60101296]","[56.10435867 56.07009409 56.0467697  56.02174212 55.99694445 55.97208601
 55.94721112 55.92231178 55.89738642 55.87243182 55.84744646 55.8231459
 55.80070223 55.78167438 55.76861107 55.75638394]","[-0.2846881  -0.33233693 -0.37545137 -0.41446293 -0.44976205 -0.48170203
 -0.51060251 -0.53675275 -0.56041446 -0.58182443 -0.59678889 -0.57798125
 -0.53736439 -0.48786746 -0.44007403 -0.39819537]","[-0.01590572 -0.00708505 -0.00844206 -0.00824645 -0.00828488 -0.00828755
 -0.00829576 -0.00830386 -0.00831308 -0.00832334 -0.0083336  -0.00834101
 -0.00834077 -0.00830329 -0.00803058 -0.00726623]","[0.04089929 0.05133689 0.06343334 0.07707924 0.09217342 0.10862138
 0.12633424 0.14522798 0.165223   0.18624374 0.20811189 0.23051329
 0.25323926 0.27736817 0.30802596 0.33532196]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000025 30.00000002 29.14689194 26.90831537
 22.86555535 16.00000254 16.00000012]",1
233,"[-165.58586121 -162.58942305 -159.59468326 -156.60249095 -153.61371572
 -150.62940749 -147.65077792 -144.67920203 -141.7162138  -138.76350031
 -135.82286226 -132.98258302 -130.37457838 -128.17203149 -126.64100459
 -125.12392555]","[-107.82054901 -107.67890461 -107.50320407 -107.28869591 -107.0309537
 -106.7258671  -106.36962833 -105.95872294 -105.48992244 -104.96027811
 -104.36726837 -103.72845578 -103.07970819 -102.47684495 -102.01253144
 -101.50443384]","[56.12014389 56.08612043 56.06265917 56.03755371 56.01266877 55.98772415
 55.96276239 55.93777562 55.9127621  55.88771851 55.8626432  55.83828191
 55.81578272 55.79670865 55.78359763 55.77132624]","[-0.28741234 -0.33480192 -0.37768178 -0.41648109 -0.45158816 -0.48335436
 -0.5120976  -0.53810556 -0.56163854 -0.58293202 -0.59577527 -0.57562101
 -0.53440971 -0.48487857 -0.43733421 -0.39571628]","[-0.01566997 -0.00715493 -0.00846423 -0.00827607 -0.00831345 -0.00831644
 -0.00832479 -0.00833312 -0.0083426  -0.00835315 -0.00836374 -0.00837146
 -0.00837148 -0.00833389 -0.00805965 -0.00729253]","[0.04211279 0.05264388 0.06482759 0.07855505 0.09372547 0.11024468
 0.12802409 0.14697993 0.16703282 0.18810742 0.2099768  0.23232122
 0.25493961 0.27893091 0.30936951 0.33647411]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000025 29.99999999 29.11393851 26.87634019
 22.83696978 16.00000248 16.00000012]",1
234,"[-164.72639465 -161.73032181 -158.73607843 -155.74452508 -152.75655626
 -149.7732452  -146.79582668 -143.82569805 -140.8644147  -137.91368392
 -134.97530421 -132.14389253 -129.54444658 -127.34943658 -125.81976383
 -124.30395139]","[-107.75099945 -107.60166263 -107.41774235 -107.19452472 -106.92761935
 -106.61295063 -106.24674462 -105.82552005 -105.34608114 -104.80551145
 -104.20141861 -103.55356988 -102.8972001  -102.28866871 -101.81990987
 -101.30804375]","[56.15155029 56.11816298 56.09440353 56.06914469 56.04408351 56.01896536
 55.99382856 55.96866558 55.94347434 55.91825127 55.89299455 55.86851132
 55.84590049 55.82673312 55.81352463 55.80116225]","[-0.29276055 -0.33964118 -0.38206053 -0.42044315 -0.45517318 -0.48659822
 -0.51503277 -0.54076141 -0.56404165 -0.58510644 -0.59366219 -0.57079145
 -0.52837253 -0.47875557 -0.4317008  -0.39061896]","[-0.01507441 -0.00731378 -0.00850614 -0.00833612 -0.00837094 -0.00837463
 -0.00838329 -0.00839208 -0.00840211 -0.00841328 -0.00842454 -0.00843293
 -0.00843355 -0.008396   -0.00811941 -0.00734661]","[0.04458695 0.05530202 0.06765751 0.0815455  0.09686599 0.11352545
 0.13143583 0.15051388 0.17068066 0.19186124 0.21373013 0.2359565
 0.25835478 0.28206429 0.31205502 0.33876743]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000025 29.99999994 29.04745638 26.81185032
 22.77935644 16.00000236 16.00000012]",1
235,"[-164.29730225 -161.30143119 -158.30745999 -155.31625348 -152.3287189
 -149.3459412  -146.36916672 -143.399804   -140.43941908 -137.48972932
 -134.55253174 -131.72557358 -129.13043119 -126.93921487 -125.4102543
 -123.89511502]","[-107.71430206 -107.56086405 -107.37258965 -107.14478305 -106.87307136
 -106.55339587 -106.18199909 -105.75541599 -105.27046675 -104.72425074
 -104.11443985 -103.4619197  -102.80160021 -102.19011477 -101.71903655
 -101.20518023]","[56.167202   56.13424605 56.11032147 56.0849893  56.05984041 56.03463627
 56.00941261 55.98416213 55.95888258 55.93357028 55.90822332 55.88367961
 55.86101361 55.84180052 55.82854469 55.81613869]","[-0.29532446 -0.3419611  -0.38415968 -0.42234254 -0.45689182 -0.4881533
 -0.51643987 -0.54203461 -0.56519368 -0.58614884 -0.59256646 -0.56836193
 -0.52537332 -0.47574931 -0.428966   -0.38814441]","[-0.0146861  -0.00740646 -0.00852477 -0.00836618 -0.00839939 -0.0084035
 -0.00841232 -0.00842138 -0.00843169 -0.00844319 -0.00845479 -0.00846349
 -0.00846436 -0.00842656 -0.00814806 -0.00737253]","[0.04591105 0.05671453 0.06915258 0.08311773 0.09851035 0.11523722
 0.13321055 0.15234733 0.17256882 0.19380032 0.21566702 0.23783293
 0.26012138 0.28369224 0.31346521 0.3399879 ]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000024 29.99999991 29.01451783 26.77983834
 22.75072121 16.0000023  16.00000012]",1
236,"[-163.86811829 -160.87245808 -157.87877026 -154.88792347 -151.90083788
 -148.91861022 -145.94249851 -142.97392251 -140.01445899 -137.06583544
 -134.12984687 -131.3073998  -128.71661295 -126.52923077 -125.00098649
 -123.4865176 ]","[-107.67684174 -107.51922868 -107.32652591 -107.09405572 -106.8174628
 -106.49270543 -106.11604273 -105.68402595 -105.19349138 -104.64155433
 -104.02595256 -103.36871921 -102.70442548 -102.0899809  -101.61658237
 -101.10075246]","[56.18287659 56.15039858 56.12630112 56.10089597 56.07565847 56.05036762
 56.02505633 55.99971757 55.97434889 55.9489465  55.92350841 55.89890383
 55.87618224 55.85692293 55.84361874 55.83116791]","[-0.29789024 -0.34428272 -0.38626037 -0.42424332 -0.45861172 -0.48970953
 -0.517848   -0.54330874 -0.56634656 -0.587192   -0.59140818 -0.56582458
 -0.52223441 -0.47258212 -0.42606208 -0.38551684]","[-0.01426013 -0.00750502 -0.00854281 -0.00839661 -0.00842807 -0.00843263
 -0.00844162 -0.00845093 -0.00846154 -0.00847338 -0.00848535 -0.00849438
 -0.00849552 -0.0084576  -0.0081775  -0.00739917]","[0.04725978 0.05815188 0.07067269 0.08471519 0.10018011 0.11697455
 0.13501098 0.15420662 0.17448295 0.19576548 0.21762853 0.2397302
 0.26190309 0.28532742 0.31487076 0.34119246]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000024 29.99999987 28.98121952 26.74747269
 22.72177569 16.00000225 16.00000012]",1
237,"[-163.43885803 -160.44340433 -157.44999173 -154.45949382 -151.47284304
 -148.49114743 -145.51567619 -142.54785985 -139.58928546 -136.64169019
 -133.70686707 -130.88889753 -128.30242483 -126.11883437 -124.59128409
 -123.07746697]","[-107.6386261  -107.47705264 -107.28014374 -107.04323926 -106.762001
 -106.43240369 -106.05072255 -105.61352464 -105.11766186 -104.56026496
 -103.93913447 -103.27744514 -102.6093914  -101.99214416 -101.51650956
 -100.99876905]","[56.19857788 56.16647314 56.14221848 56.1167376  56.09141158 56.06603368
 56.0406345  56.01520721 55.98974919 55.96425654 55.93872719 55.914062
 55.89128506 55.87197975 55.85862733 55.84613187]","[-0.30037511 -0.34653111 -0.3882948  -0.42608415 -0.46027737 -0.49121668
 -0.51921172 -0.54454269 -0.56746309 -0.58820226 -0.59033257 -0.56344453
 -0.51928467 -0.46960429 -0.42333231 -0.38304684]","[-0.01391833 -0.00759083 -0.0085629  -0.00842683 -0.00845688 -0.00846184
 -0.008471   -0.00848057 -0.00849147 -0.00850363 -0.00851594 -0.00852528
 -0.00852667 -0.00848859 -0.00820682 -0.0074257 ]","[0.04853831 0.05951639 0.07211748 0.08623501 0.10177008 0.11863006
 0.1367277  0.15598043 0.17630995 0.19764197 0.21950261 0.24154605
 0.26361229 0.28690082 0.3162289  0.34236209]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000024 29.99999982 28.94776902 26.71506332
 22.6928796  16.0000022  16.00000012]",1
238,"[-162.5802002  -159.5851573  -156.59229331 -153.602489   -150.61670115
 -147.63605991 -144.66185635 -141.6955421  -138.73872429 -135.79315906
 -132.86063509 -130.05165922 -127.47383499 -125.29783161 -123.77164632
 -122.25910916]","[-107.55990601 -107.39070022 -107.18566967 -106.9401891  -106.6499543
 -106.31097284 -105.919552   -105.47229036 -104.96607088 -104.39805504
 -103.76616637 -103.0958957  -102.42060395 -101.79796683 -101.31796775
 -100.79649808]","[56.23054886 56.19935429 56.17475497 56.14912137 56.12361273 56.09805583
 56.07247587 56.04686656 56.0212249  55.99554676 55.96982992 55.94504009
 55.9221491  55.90274851 55.88929591 55.87670705]","[-0.30531396 -0.35099997 -0.39233839 -0.42974294 -0.46358798 -0.49421225
 -0.52192223 -0.54699525 -0.56968226 -0.59021022 -0.58826989 -0.55883205
 -0.51354343 -0.46378324 -0.41797561 -0.3781999 ]","[-0.01310113 -0.00778434 -0.00860175 -0.0084894  -0.00851612 -0.00852193
 -0.00853142 -0.00854149 -0.00855296 -0.00856579 -0.00857877 -0.00858874
 -0.00859069 -0.00855254 -0.00826816 -0.0074812 ]","[0.05099965 0.062149   0.07491005 0.08917709 0.10485192 0.1218425
 0.14006208 0.15942854 0.17986402 0.2012946  0.22315234 0.24508584
 0.26694743 0.28997351 0.31888171 0.34464621]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000024 29.99999968 28.88002358 26.64958631
 22.63464465 16.0000021  16.00000012]",1
239,"[-162.13285828 -159.13804758 -156.14548959 -153.15606924 -150.17075593
 -147.19069127 -144.21717765 -141.25167755 -138.29580847 -135.35133625
 -132.42004703 -129.61579847 -127.04252132 -124.87050856 -123.3450615
 -121.83322368]","[-107.51771545 -107.34435872 -107.13493343 -106.88483184 -106.58976689
 -106.24576268 -105.84914272 -105.39652152 -104.8847978  -104.31114861
 -103.67356045 -102.99875089 -102.31962188 -101.69411193 -101.21177062
 -100.68827608]","[56.2471962  56.21646415 56.19168869 56.16597634 56.14037376 56.11472467
 56.08905159 56.06334844 56.03761206 56.01183822 55.98602461 55.9611712
 55.93822226 55.91877382 55.9052711  55.89263632]","[-0.30777286 -0.35322488 -0.39435157 -0.43156454 -0.46523623 -0.49570364
 -0.5232717  -0.5482163  -0.57078711 -0.59120992 -0.58718441 -0.55645885
 -0.51062062 -0.46085126 -0.41530587 -0.37578422]","[-0.01268558 -0.00788295 -0.00862189 -0.00852156 -0.00854662 -0.00855288
 -0.00856256 -0.00857291 -0.00858469 -0.00859786 -0.0086112  -0.00862145
 -0.0086236  -0.00858506 -0.00829833 -0.00750849]","[0.05234233 0.06357714 0.07641803 0.0907597  0.10650428 0.12356005
 0.14184048 0.1612637  0.18175204 0.20323179 0.22508672 0.24696355
 0.2687213  0.29161568 0.3203143  0.34589564]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000024 29.99999957 28.84463212 26.6153688
 22.60421306 16.00000206 16.00000012]",1
240,"[-161.70344543 -158.70886984 -155.71661887 -152.7275836  -149.7427458
 -146.76325851 -143.79043539 -140.82574974 -137.87082936 -134.92744978
 -131.99739429 -129.19773208 -126.62886782 -124.46072628 -122.93600704
 -121.42485353]","[-107.47634125 -107.29891051 -107.08516443 -106.83051305 -106.53068662
 -106.181726   -105.77997107 -105.32205247 -104.80488483 -104.22566093
 -103.58243073 -102.90311979 -102.22018995 -101.59184129 -101.1072029
 -100.58173539]","[56.26322174 56.23281346 56.20788675 56.18209559 56.15640281 56.13066472
 56.10490176 56.07910804 56.0532802  56.02741391 56.00150679 55.97659189
 55.95358682 55.93409173 55.92053956 55.90785898]","[-0.31025738 -0.35547297 -0.39638573 -0.43340512 -0.46690166 -0.49721059
 -0.52463524 -0.54945008 -0.57190348 -0.59222001 -0.58609479 -0.55406478
 -0.50765682 -0.45785717 -0.41255968 -0.37329937]","[-0.01238324 -0.00796304 -0.0086436  -0.00855224 -0.00857609 -0.00858274
 -0.00859261 -0.00860324 -0.00861533 -0.00862885 -0.00864255 -0.00865312
 -0.00865552 -0.00861682 -0.00832841 -0.00753571]","[0.05365892 0.06498024 0.07790193 0.09231913 0.10813432 0.12525605
 0.14359807 0.16307872 0.18362056 0.20515006 0.22700233 0.24882092
 0.27047237 0.29323121 0.32171563 0.34710897]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000023 29.99999942 28.81062735 26.58244349
 22.57489912 16.00000201 16.00000012]",1
241,"[-161.27400208 -158.27965638 -155.2877047  -152.29904471 -149.3146701
 -146.33574505 -143.36359413 -140.39970118 -137.445704   -134.50338753
 -131.57453227 -128.77943115 -126.21494881 -124.05064704 -122.52663943
 -121.01615717]","[-107.43418121 -107.25286528 -107.03498977 -106.77598234 -106.47159036
 -106.11787124 -105.71118104 -105.24816632 -104.7257574  -104.14116262
 -103.49249309 -102.80888016 -102.12231457 -101.49124704 -101.00437432
 -100.47697966]","[56.27925491 56.2491159  56.22404557 56.19817373 56.17239034 56.14656262
 56.12070923 56.09482439 56.06890459 56.04294535 56.01694423 55.99196775
 55.9689064  55.94936442 55.93576235 55.92303542]","[-0.31271173 -0.35769375 -0.39839517 -0.43522334 -0.46854686 -0.49869922
 -0.52598221 -0.55066887 -0.57300629 -0.59321781 -0.58508066 -0.55180163
 -0.50484674 -0.45501582 -0.40995388 -0.37094155]","[-0.0121245  -0.00803672 -0.00866653 -0.00858297 -0.00860579 -0.00861279
 -0.00862285 -0.00863374 -0.00864614 -0.00866001 -0.00867405 -0.00868493
 -0.00868759 -0.00864878 -0.00835885 -0.00756326]","[0.05491304 0.06631996 0.0793216  0.09381354 0.10969859 0.12688559
 0.14528855 0.16482603 0.18542079 0.20699951 0.22885067 0.25061612
 0.27216852 0.29480043 0.32308211 0.34829744]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000023 29.99999918 28.77649787 26.54947762
 22.54561633 16.00000197 16.00000012]",1
242,"[-160.41085815 -157.41695907 -154.42558674 -151.43765259 -148.45417307
 -145.47633365 -142.5054799  -139.54311579 -136.59089833 -133.65063048
 -130.72408711 -127.93816949 -125.382485   -123.22587445 -121.70323833
 -120.19404894]","[-107.34619904 -107.15758272 -106.93192907 -106.66470021 -106.35167695
 -105.98894905 -105.57290421 -105.10022009 -104.56785768 -103.97305562
 -103.31404237 -102.62239244 -101.92904001 -101.29290591 -100.8017589
 -100.27067472]","[56.31072617 56.28101988 56.25567893 56.22964361 56.20367975 56.17767316
 56.15163938 56.12557281 56.09946961 56.07332509 56.04713669 56.02203986
 55.99886844 55.97923447 55.96553231 55.95271195]","[-0.31750142 -0.36202765 -0.40231665 -0.43877164 -0.47175749 -0.50160432
 -0.52861085 -0.55304737 -0.57515844 -0.59516445 -0.583194   -0.5475306
 -0.49951687 -0.44960267 -0.40497079 -0.36643266]","[-0.01169243 -0.00817084 -0.00871426 -0.00864401 -0.00866509 -0.00867272
 -0.00868317 -0.00869458 -0.00870756 -0.0087221  -0.00873682 -0.0087483
 -0.0087515  -0.0087126  -0.00842019 -0.0076188 ]","[0.05726651 0.06884087 0.08199894 0.09663709 0.11265882 0.12997351
 0.14849567 0.16814429 0.18884256 0.21051751 0.23236879 0.25403888
 0.27540813 0.29780295 0.32569912 0.35057505]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000023 29.99999782 28.70656652 26.48219318
 22.48606995 16.00000189 16.00000012]",1
243,"[-159.97738647 -156.98371395 -153.99263406 -151.00506563 -148.02203627
 -145.04474204 -142.07453885 -139.11294063 -136.16161385 -133.22236881
 -130.29697123 -127.51565332 -124.96436607 -122.81159261 -121.28962751
 -119.78107181]","[-107.30044556 -107.1082411  -106.87876115 -106.60748508 -106.29021036
 -105.92304293 -105.5023863  -105.02493365 -104.48766129 -103.88783054
 -103.22375476 -102.52823956 -101.8316406  -101.19309146 -100.69986819
 -100.16698613]","[56.32629776 56.29676162 56.2712934  56.24517606 56.21912295 56.1930277
 56.16690455 56.14074791 56.11455382 56.08831747 56.06203622 56.03688062
 56.01365558 55.99397706 55.9802261  55.9673606 ]","[-0.31988393 -0.36418343 -0.40426728 -0.44053665 -0.47335453 -0.50304938
 -0.5299184  -0.55423049 -0.57622896 -0.5958131  -0.58207078 -0.54533966
 -0.49688773 -0.44698909 -0.40259818 -0.36428584]","[-0.01151402 -0.00823182 -0.00873874 -0.00867412 -0.0086945  -0.00870242
 -0.00871306 -0.00872472 -0.008738   -0.00875288 -0.00876793 -0.00877968
 -0.00878309 -0.00874398 -0.00844984 -0.00764563]","[0.05842279 0.07008063 0.0833167  0.09802777 0.11411765 0.13149602
 0.1500776  0.16978164 0.1905315  0.21224673 0.2340862  0.25570331
 0.27698086 0.29926103 0.32697295 0.35168774]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000022 29.99999378 28.67128246 26.44829111
 22.4561246  16.00000185 16.00000012]",1
244,"[-159.54412842 -156.55068625 -153.55990298 -150.57270462 -147.59012987
 -144.61338524 -141.64383689 -138.6830086  -135.73257619 -132.79434857
 -129.87138739 -127.094577   -124.54755444 -122.39845489 -120.87701239
 -119.3689018 ]","[-107.25396729 -107.05818099 -106.82488442 -106.54957392 -106.22806349
 -105.85647507 -105.43122779 -104.94903022 -104.40687385 -103.80208299
 -103.13349879 -102.43454388 -101.73523361 -101.09482436 -100.59998992
 -100.06584852]","[56.3418541  56.31250174 56.28690351 56.26070377 56.23456068 56.2083761
 56.18216286 56.15591546 56.12962976 56.10330083 56.076938   56.05172305
 56.02844378 56.00871999 55.99491925 55.98200743]","[-0.32223058 -0.36630677 -0.40618855 -0.44227509 -0.47492754 -0.5044727
 -0.53120627 -0.5553958  -0.57728338 -0.59473496 -0.57950278 -0.54198339
 -0.49331714 -0.44357945 -0.39951071 -0.36149217]","[-0.01132442 -0.00829468 -0.0087632  -0.0087045  -0.00872412 -0.00873235
 -0.00874318 -0.00875511 -0.00876869 -0.00878391 -0.00879933 -0.00881139
 -0.00881503 -0.0087758  -0.00848028 -0.00767313]","[0.05957762 0.07131782 0.08463085 0.09941385 0.11557097 0.13301215
 0.15165236 0.17141106 0.19221181 0.21392543 0.2356883  0.25719019
 0.2783244  0.30044223 0.32791471 0.35242025]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000022 29.98625853 28.6359326  26.41431693
 22.42620754 16.00000182 16.00000012]",1
245,"[-159.11108398 -156.11789672 -153.12743807 -150.14064269 -147.1585607
 -144.18240944 -141.21356569 -138.25356339 -135.30408801 -132.36694637
 -129.44857069 -126.676307   -124.13358948 -121.98819799 -120.46730646
 -118.95966183]","[-107.20675659 -107.00709707 -106.76969158 -106.49005375 -106.16401427
 -105.78771128 -105.35757982 -104.87034408 -104.32301097 -103.7129718
 -103.04007201 -102.33741224 -101.63518106 -100.99276576 -100.49623883
  -99.96078258]","[56.35738754 56.32814244 56.30242667 56.27614348 56.24991135 56.22363801
 56.19733525 56.17099759 56.14462074 56.11819965 56.09177455 56.06650052
 56.04316726 56.02339844 56.00954802 55.99658997]","[-0.32458517 -0.36843729 -0.40811633 -0.44401941 -0.47650587 -0.50590083
 -0.5324985  -0.55656506 -0.57834137 -0.59350464 -0.57670658 -0.53835648
 -0.48946814 -0.4399055  -0.39618275 -0.35848092]","[-0.01119671 -0.00834787 -0.00878883 -0.00873443 -0.00875357 -0.00876208
 -0.00877313 -0.00878533 -0.00879923 -0.0088148  -0.00883058 -0.00884301
 -0.00884689 -0.00880755 -0.00851065 -0.00770061]","[0.0608297  0.07265268 0.08604305 0.10089835 0.11712305 0.13462735
 0.15332648 0.1731401  0.19399199 0.21570045 0.23739329 0.25876806
 0.27974561 0.30168635 0.32890157 0.35318211]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000022 29.95122884 28.60092252 26.38056414
 22.39641701 16.00000178 16.00000012]",1
246,"[-158.24554443 -155.25292128 -152.26317526 -149.27725918 -146.2962467
 -143.32137755 -140.35405031 -137.39581979 -134.44839122 -131.51356574
 -128.60447271 -125.84141235 -123.30740731 -121.16951266 -119.64976849
 -118.14308452]","[-107.11010742 -106.90213783 -106.65595163 -106.36709715 -106.03143881
 -105.64514754 -105.20469051 -104.7068236  -104.14858501 -103.52750632
 -102.84549924 -102.13502879 -101.42664504 -100.78000934 -100.27997817
  -99.74182243]","[56.38917923 56.36014447 56.33419101 56.30773775 56.28132436 56.25487019
 56.22838498 56.20186323 56.17530036 56.14869109 56.12213784 56.09674215
 56.07329767 56.05343588 56.03948317 56.02642959]","[-0.3292848  -0.37268969 -0.41196406 -0.44750099 -0.47965613 -0.5087513
 -0.53507771 -0.55889883 -0.58045304 -0.59079523 -0.57070988 -0.53061586
 -0.48125251 -0.43204444 -0.38904142 -0.35201917]","[-0.01094343 -0.0084549  -0.00884118 -0.00879532 -0.00881353 -0.00882265
 -0.00883419 -0.00884699 -0.00886157 -0.0088779  -0.00889446 -0.00890768
 -0.00891211 -0.00887271 -0.00857339 -0.00775738]","[0.0635225  0.07551109 0.08905621 0.10405618 0.12041609 0.1380467
 0.1568637  0.17678719 0.19774135 0.21943353 0.24097104 0.26207124
 0.28271204 0.30427148 0.33093815 0.35473777]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000021 29.8814432  28.53106832 26.31308707
 22.33678552 16.00000172 16.00000012]",1
247,"[-157.81306458 -154.82076258 -151.83141862 -148.84599511 -145.86557807
 -142.89141894 -139.92492767 -136.96766992 -134.02136118 -131.08779915
 -128.1833906  -125.42498585 -122.89539495 -120.76130282 -119.24218873
 -117.73604117]","[-107.06063843 -106.84808429 -106.59707858 -106.3031872  -105.96229163
 -105.57057944 -105.12453414 -104.62092775 -104.05681446 -103.42979896
 -102.74284441 -102.02811768 -101.31635771 -100.66737609 -100.16543219
  -99.62577585]","[56.40497971 56.37605884 56.34998671 56.32344969 56.29694673 56.27040314
 56.24382761 56.21721464 56.19055948 56.16385673 56.13723969 56.11178351
 56.08828382 56.06837607 56.05437283 56.04127228]","[-0.33163124 -0.37481284 -0.41388516 -0.44923927 -0.48122899 -0.51017449
 -0.53636546 -0.56006403 -0.58150736 -0.58932659 -0.56753827 -0.5265578
 -0.47697523 -0.4279826  -0.38537875 -0.34870505]","[-0.01081047 -0.00850881 -0.00886686 -0.00882541 -0.00884317 -0.00885262
 -0.00886443 -0.00887757 -0.00889252 -0.00890926 -0.00892624 -0.00893988
 -0.00894457 -0.00890504 -0.00860424 -0.00778529]","[0.06501259 0.07708408 0.09070666 0.10577904 0.12220663 0.13990045
 0.15877643 0.1787549  0.19976024 0.22144155 0.24289438 0.26384895
 0.28431309 0.30567403 0.33205966 0.35561363]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.00000021 29.84718755 28.4966262  26.27970051
 22.30720229 16.00000169 16.00000012]",1
248,"[-157.38075256 -154.38876684 -151.39981781 -148.41487817 -145.43504595
 -142.46158407 -139.49591366 -136.53961104 -133.59440175 -130.6620799
 -127.76239962 -125.00868395 -122.48353054 -120.353255   -118.83475536
 -117.32912769]","[-107.01039886 -106.79343507 -106.53778366 -106.23902817 -105.89306719
 -105.49610495 -105.04464134 -104.53546452 -103.96564463 -103.33285836
 -102.64114345 -101.92232558 -101.20732729 -100.55610529 -100.05230393
  -99.51119767]","[56.42072296 56.39184537 56.3656649  56.33904229 56.31244974 56.28581648
 56.25915043 56.23244604 56.20569843 56.17890207 56.15222201 56.12670606
 56.10315178 56.08319847 56.06914442 56.0559965 ]","[-0.3339838  -0.37694152 -0.41581128 -0.45098209 -0.48280596 -0.51160139
 -0.53765657 -0.56123228 -0.58256443 -0.58790945 -0.56444788 -0.5225862
 -0.47276877 -0.42396533 -0.38173738 -0.3454102 ]","[-0.01073408 -0.00855431 -0.00889389 -0.00885539 -0.00887292 -0.00888266
 -0.00889474 -0.0089082  -0.00892352 -0.00894067 -0.00895804 -0.00897209
 -0.00897706 -0.00893747 -0.00863536 -0.00781345]","[0.06644424 0.07859897 0.09229934 0.10744444 0.12394    0.1416973
 0.16063252 0.18066619 0.20172291 0.2233947  0.24476664 0.26558039
 0.28587255 0.30703888 0.3331468  0.35645718]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000028 30.0000002  29.81218832 28.46154152 26.24578915
 22.27722648 16.00000166 16.00000012]",1
249,"[-156.94863892 -153.95696034 -150.96839617 -147.98392742 -145.00466389
 -142.03187958 -139.06700637 -136.11163086 -133.16748831 -130.23636924
 -127.34137542 -124.59230042 -122.0715339  -119.94502957 -118.42713142
 -116.92201625]","[-106.95936584 -106.7381878  -106.47809179 -106.17467842 -105.82386303
 -105.42186611 -104.96520353 -104.4506792  -103.87537885 -103.23704814
 -102.54079846 -101.81807991 -101.0999896  -100.44662387  -99.94101172
  -99.39848058]","[56.43639374 56.40767826 56.38137072 56.35466437 56.32798105 56.30125739
 56.27450005 56.2477035  56.22086271 56.19397205 56.16722857 56.14165243
 56.11804314 56.09804387 56.08393861 56.07074288]","[-0.3362774  -0.37901685 -0.41768911 -0.45268123 -0.4843434  -0.51299253
 -0.53891533 -0.56237124 -0.583595   -0.58657929 -0.56152412 -0.51882213
 -0.46877829 -0.42015258 -0.37828164 -0.34228332]","[-0.010562   -0.00861444 -0.00891907 -0.00888596 -0.00890288 -0.00891297
 -0.00892529 -0.00893908 -0.00895476 -0.00897229 -0.00899006 -0.0090045
 -0.00900974 -0.0089701  -0.00866675 -0.00784186]","[0.06781168 0.08004771 0.09382405 0.10904017 0.12560209 0.14342139
 0.16241444 0.18250202 0.20360891 0.22527266 0.24656981 0.26725184
 0.28738255 0.3083658  0.33421099 0.35729081]","[30.0000003  30.0000003  30.0000003  30.0000003  30.0000003  30.0000003
 30.00000029 30.00000027 30.0000002  29.77717855 28.42653428 26.21203529
 22.2474489  16.00000163 16.00000012]",1
