,current_time,x_pos,y_pos,z_pos,roll,pitch,yaw,vel,x_traj,y_traj,z_traj,roll_traj,pitch_traj,yaw_traj,x_cmd,y_cmd,z_cmd,roll_cmd,pitch_cmd,yaw_cmd,vel_cmd,effector_dmg,effector_x,effector_y,effector_z,cost,time_solution
0,15.727741003036499,-361.77764892578125,-258.26263427734375,50.045257568359375,0.6363065838813777,0.037611726671457235,0.9747930924084521,23.132917620300365,"array('d', [-260.4848327636719, -258.39863441922506, -256.3504752915801, -254.33962236377, -252.36458947824792, -250.42345506142289, -248.51406765901004, -246.6341822699895, -244.78155113965389, -242.95398362754918, -241.1493847134538, -239.36577854778028, -237.6013213816736, -235.8543068324035, -234.1231655183363, -233.07864823608915])","array('d', [-363.4103698730469, -362.03513186111877, -360.60266475408554, -359.1177721284339, -357.5853278989688, -356.01005558896935, -354.39639316181723, -352.7484247485267, -351.06985709815876, -349.364023140823, -347.63390063918246, -345.88213837602433, -344.1110854085513, -342.3228208894618, -340.5191831540423, -339.40794054638087])","array('d', [-50.0406608581543, -49.96321185529925, -49.91147011082111, -49.876412953351235, -49.852301765772175, -49.83545040229839, -49.82346538735413, -49.81477437494755, -49.80833157435396, -49.803432527973534, -49.79959700621905, -49.79649473711064, -49.79389835281989, -49.79165379061454, -49.789661917720295, -49.78856710738142])","array('d', [0.6364833712577818, 0.6125659407434926, 0.5814975665130386, 0.5460490078530411, 0.5083571963337675, 0.4700116975008255, 0.43215751268852376, 0.39559168387347843, 0.36084483538364626, 0.3282461885913731, 0.2979737877513517, 0.2700926354881606, 0.24458339075826704, 0.2213638761297729, 0.20030516911836524, 0.18124362845387956])","array('d', [-0.03736093640327441, -0.024817833350332018, -0.016713822647808133, -0.01142114759953925, -0.007926410371378529, -0.0055936996974648295, -0.004020592446258567, -0.0029500898641051515, -0.0022163958589195877, -0.0017112702582865523, -0.0013629588624623165, -0.001122862331461478, -0.0009570121680757195, -0.0008405801398012561, -0.0007543567094069924, -0.0006825705417137794])","array('d', [1.0022317330029349, 0.973958872891776, 0.9472957036342693, 0.9225000379393132, 0.8996687205856073, 0.8787924658618762, 0.8597973481686798, 0.8425733293846596, 0.8269927293755405, 0.8129217145894789, 0.8002272407684791, 0.7887811538990498, 0.778462564280611, 0.7691591940689854, 0.7607681263972652, 0.7483559072824072])",-250.42345506142289,-356.01005558896935,-49.83545040229839,0.4700116975008255,-0.0055936996974648295,0.8787924658618762,25.00000024617029,-1.0,"[-361.2177478063532, -257.3853453270045, 49.98809594496732]","[-359.85844397027074, -241.30645873351423, 61.80425856211555]","[-343.2699005438724, -249.90748704049471, 54.673863127567984]",10000000000.0,0.0248105525970459
1,15.752851486206055,-361.77764892578125,-258.26263427734375,50.045257568359375,0.6363065838813777,0.037611726671457235,0.9747930924084521,23.132917620300365,"array('d', [-260.1108703613281, -258.0312294992313, -255.98983057469817, -253.98586020799695, -252.01777162982603, -250.0835996833449, -248.18116293891268, -246.30819679469298, -244.46244155148483, -242.64170012238466, -240.84387487378189, -239.06698991139658, -237.3092030626295, -235.56881044557, -233.84424561233723, -232.80369992753734])","array('d', [-363.1422424316406, -361.7571032455278, -360.3150154615294, -358.82084527959404, -357.2794913076083, -355.6956769225444, -354.07382494545953, -352.41799615968586, -350.73187018615255, -349.0187518116366, -347.28159130426775, -345.52301155597695, -343.7453378401272, -341.9506278463507, -340.14070079012885, -339.0257258963605])","array('d', [-50.041255950927734, -49.96388956948699, -49.91221529210554, -49.87721072537206, -49.85313952611684, -49.83631819710064, -49.82435565261912, -49.81568149529956, -49.80925144555465, -49.804362186712325, -49.80053433766928, -49.79743825057013, -49.79484701014844, -49.792606872541306, -49.790618915604405, -49.789526249725085])","array('d', [0.6365473866462705, 0.6116940380308622, 0.5799759517488746, 0.5441099045293122, 0.5061812368004539, 0.4677345018054875, 0.42987746109651126, 0.3933773208929615, 0.35874129174011, 0.326280511932535, 0.29615929383067546, 0.26843246227566564, 0.24307343970644857, 0.2199953003905845, 0.19906653792732243, 0.18012286850362147])","array('d', [-0.03732492029666896, -0.024787622954140276, -0.016689941901014027, -0.011402858232405149, -0.007912632295152442, -0.005583391759543233, -0.004012880496586656, -0.0029442858332476593, -0.0022119760843009617, -0.0017078434230494144, -0.0013602357812867432, -0.0011206315882677938, -0.0009551221301881252, -0.0008389265532354399, -0.0007528746674233699, -0.0006812295345517113])","array('d', [0.9974713484433037, 0.9692228637139005, 0.9426284674482781, 0.9179278279138883, 0.8952045266692047, 0.874440282577664, 0.8555554257869566, 0.8384364701547516, 0.8229538408657637, 0.808972834664656, 0.796360202941141, 0.784988011503655, 0.7747358513081447, 0.765492071451293, 0.7571544430162862, 0.744820928794387])",-250.0835996833449,-355.6956769225444,-49.83631819710064,0.4677345018054875,-0.005583391759543233,0.874440282577664,25.00000024617507,-1.0,"[-360.9362354771689, -257.0221335862283, 49.98885327919326]","[-359.49043446348344, -240.9460312977536, 61.79853552044452]","[-342.95042524861043, -249.60584685245675, 54.626667581724725]",10000000000.0,0.02334737777709961
2,15.794692754745483,-360.9388427734375,-257.168701171875,50.046546936035156,0.6357002854347225,0.037498086690902724,0.9614623943951468,23.130624632358025,"array('d', [-259.3664855957031, -257.2998950296052, -255.2719159158182, -253.2815805658892, -251.32722603739938, -249.40680408207854, -247.51807660184366, -245.65874242694187, -243.82652008401186, -242.0192013009351, -240.23468460918465, -238.47099517314962, -236.72629493264355, -234.99888582162828, -233.2872079603001, -232.2544388266703])","array('d', [-362.6006774902344, -361.19615141922105, -359.7352539905457, -358.2229682268712, -356.6642357752011, -355.06377554393225, -353.4259776261939, -351.7548548866084, -350.0540322607949, -348.3267583047259, -346.57592862809827, -344.80411480949965, -343.01359507409325, -341.206384703242, -339.38426515922816, -338.26205739443077])","array('d', [-50.042659759521484, -49.965113639959625, -49.913342721366114, -49.878285741273984, -49.854185686090325, -49.83734807187169, -49.82537596805178, -49.81669586399409, -49.81026182110089, -49.80536964021484, -49.80153947366906, -49.798441430276576, -49.79584847102956, -49.79360679149582, -49.7916174406496, -49.79052399170434])","array('d', [0.6364106535911556, 0.6097502263986855, 0.5767863497747397, 0.5401274666953658, 0.501756857934261, 0.46313079130711016, 0.4252843674602534, 0.3889267610706216, 0.3545197275299303, 0.3223393392736918, 0.2925233022982883, 0.2651067378510364, 0.24004907626877214, 0.2172542326933371, 0.1965857472170379, 0.17787815603943763])","array('d', [-0.037419043481349945, -0.024838091382295924, -0.016717191202181018, -0.011417750084769038, -0.007920936205749726, -0.005588175049174256, -0.0040157762561423725, -0.002946164461439577, -0.0022133012189087253, -0.0017088610576505583, -0.0013610751253015042, -0.001121359144942731, -0.0009557709480197385, -0.0008395123288466829, -0.0007534049454211034, -0.0006817093499694189])","array('d', [0.9880959550526476, 0.9599099674819901, 0.9334626475934366, 0.9089582648962237, 0.88645482628646, 0.8659168532659406, 0.8472537716813939, 0.8303455987872306, 0.8150592300647979, 0.8012583847232009, 0.7888095018530812, 0.7775851406669472, 0.7674658800443451, 0.7583413328703813, 0.750110646534806, 0.7379346623653842])",-249.40680408207854,-355.06377554393225,-49.83734807187169,0.46313079130711016,-0.005588175049174256,0.8659168532659406,25.000000246184158,-1.0,"[-360.0809641732269, -255.9395217503758, 49.99031298664801]","[-358.36956483461626, -239.86738907102904, 61.769857266512005]","[-341.98050588129377, -248.71276741713916, 54.47890201094455]",10000000000.0,0.03809833526611328
3,15.833690881729126,-360.3709411621094,-256.4451599121094,50.046974182128906,0.6351189017295835,0.03714009374380101,0.9525704542782645,23.13197426873058,"array('d', [-258.9974365234375, -256.937192003378, -254.91573226743557, -252.93201588286314, -250.9843244843376, -249.07057027959328, -247.1884882856328, -245.3357600642513, -243.51009394475577, -241.70927651519742, -239.9312046742105, -238.17390428359064, -236.43553942884088, -234.71441499020844, -233.008974378496, -231.97996821049836])","array('d', [-362.328125, -360.91431555634506, -359.4444133555851, -357.9234563173087, -356.35640583172653, -354.7479781184594, -353.10254731940773, -351.4241032545695, -349.71624467878627, -347.9821932783515, -346.22481856523854, -344.4466676235364, -342.6499962192069, -340.83679938594804, -339.0088405567785, -337.8831679824059])","array('d', [-50.04358673095703, -49.965874037410664, -49.91400265622937, -49.87888353290832, -49.8547439002028, -49.83788024087232, -49.825890369250615, -49.81719766637765, -49.81075432149382, -49.805854986334346, -49.80201909481783, -49.798916299468885, -49.79631926877372, -49.79407401151339, -49.792081460796844, -49.790986242796684])","array('d', [0.6363299489021299, 0.6088053951096767, 0.5752467904902118, 0.5382099568923594, 0.4996290651, 0.46091811824884327, 0.4230775195578686, 0.38678875583958167, 0.3524918910136287, 0.32044625048042263, 0.2907768191365063, 0.2635092858790924, 0.23859637470078182, 0.21593760582622062, 0.1953941398570948, 0.17679994501494903])","array('d', [-0.03750285878777504, -0.02488816552849568, -0.016747829400429175, -0.011437021192905066, -0.007933441510164237, -0.005596574811557923, -0.004021633320253943, -0.0029504133395161355, -0.002216511287843815, -0.0017113858503260914, -0.0013631380199894119, -0.0011231031382443856, -0.000957287902429682, -0.0008408603745790158, -0.0007546190314547576, -0.000682807900540179])","array('d', [0.9835843602803089, 0.9554291279325885, 0.9290527999718227, 0.9046427013520604, 0.8822446807022088, 0.861815111748475, 0.8432582585564107, 0.8264510596017688, 0.8112587325692264, 0.7975442420996609, 0.7851738730447353, 0.7740204144511188, 0.7639649121628749, 0.7548975793742053, 0.7467182191252824, 0.7346178561458423])",-249.07057027959328,-354.7479781184594,-49.83788024087232,0.46091811824884327,-0.005596574811557923,0.861815111748475,25.000000246188396,-1.0,"[-359.50215521839874, -255.22364086149597, 49.991276848266466]","[-357.6137395864318, -239.15401707490324, 61.74717229516101]","[-341.3268189115864, -248.12639997979292, 54.38289636745874]",10000000000.0,0.03374981880187988
4,15.862504959106445,-359.79571533203125,-255.7265167236328,50.047019958496094,0.6329787373542781,0.035902556031942374,0.9442606727269026,23.138814471406853,"array('d', [-258.26263427734375, -256.2148780837357, -254.20625244150608, -252.23556975523493, -250.3010023956762, -248.40038477395223, -246.5313990155041, -244.69169265238523, -242.87895384244436, -241.09095891807416, -239.3256014049175, -237.58090837079254, -235.8550479571955, -234.146330678607, -232.4532062612739, -231.43163211256316])","array('d', [-361.77764892578125, -360.3458224493594, -358.8584335447398, -357.32062660546455, -355.7374018321256, -354.1134711150722, -352.4531787149633, -350.76047082848453, -349.038896426186, -347.291625951725, -345.5214790384949, -343.7309558757099, -341.9222691720056, -340.0973751014253, -338.25800246585305, -337.1255535194906])","array('d', [-50.045257568359375, -49.96733286829767, -49.91534053937206, -49.88015078872182, -49.855968628169585, -49.839078344941115, -49.82707099987258, -49.8183661926182, -49.8119139685001, -49.80700774749712, -49.803166246649276, -49.80005869672647, -49.797457516523224, -49.79520856708044, -49.793212694641326, -49.792115630503396])","array('d', [0.6363065838813777, 0.6070892090778395, 0.5723627617447252, 0.5345801286825264, 0.4955799567104458, 0.4566942494810075, 0.41885612852828324, 0.38269334926677173, 0.3486038124282768, 0.3168142212760258, 0.28742472011621595, 0.2604425302096423, 0.2358072065621906, 0.21340960766562275, 0.1931061744503644, 0.17472970811635974])","array('d', [-0.037611726671457235, -0.024949777662556332, -0.01678343125632759, -0.011458168171382186, -0.007946454158324495, -0.005604939324285445, -0.0040272928551487895, -0.002954464205554807, -0.0022195802139599137, -0.0017138359332559538, -0.0013651821790455988, -0.0011248673119169498, -0.0009588467620378393, -0.00084225795259727, -0.000755881092999094, -0.0006839498611522234])","array('d', [0.9747930924084521, 0.9466900300475667, 0.9204448536610553, 0.8962118638450273, 0.8740132886257145, 0.8537896661253825, 0.8354351913441472, 0.8188207527287964, 0.8038082267772888, 0.790259030060817, 0.7780390729253627, 0.767021527057655, 0.757088293535392, 0.7481307109731163, 0.7400498247722117, 0.7280945770783488])",-248.40038477395223,-354.1134711150722,-49.839078344941115,0.4566942494810075,-0.005604939324285445,0.8537896661253825,25.000000246196443,-1.0,"[-359.50215521839874, -255.22364086149597, 49.991276848266466]","[-357.6137395864318, -239.15401707490324, 61.74717229516101]","[-341.3268189115864, -248.12639997979292, 54.38289636745874]",10000000000.0,0.024370193481445312
5,15.903621673583984,-359.2141418457031,-255.01504516601562,50.04697799682617,0.6265524029731748,0.03299572318792336,0.9363623420384266,23.14665044202081,"array('d', [-257.5322265625, -255.49714687877747, -253.50152080938557, -251.5440125260905, -249.622685895597, -247.73529932688388, -245.87948410759287, -244.05285574300746, -242.25308406464816, -240.4779368126627, -238.72530562829323, -236.9932201152252, -235.27985365922382, -233.58352347149162, -231.90268654441311, -230.88852046752527])","array('d', [-361.22015380859375, -359.77035769127804, -358.26556670599325, -356.711020766395, -355.11175101293355, -353.472459546391, -351.79745703778974, -350.0906435642098, -348.3555166293426, -346.5951942887689, -344.81244550339454, -343.00972300283155, -341.1891960228397, -339.35278155941734, -337.50217352868003, -336.36305747678904])","array('d', [-50.0462646484375, -49.96849079079949, -49.91661945272365, -49.88152284118338, -49.85741083355469, -49.840572846679166, -49.82860438729657, -49.81992859791626, -49.81349822959376, -49.80860872255645, -49.80478028356806, -49.80168323200073, -49.799090771961964, -49.79684931558346, -49.79486007189751, -49.79376663366769])","array('d', [0.6359784007072447, 0.605102687243867, 0.5692420706120551, 0.5307439619961599, 0.49135069676069576, 0.45231240612492346, 0.4144954318691233, 0.3784743881587182, 0.3446055627041997, 0.31308350272585644, 0.2839838887606207, 0.2572957716981258, 0.23294576848509474, 0.21081625240566756, 0.1907590759446225, 0.17260596537229553])","array('d', [-0.037545319646596895, -0.024895252391234572, -0.016740941568562852, -0.011425967352499431, -0.007922394140832935, -0.005587058205645723, -0.0040139887056939725, -0.002944498225216857, -0.0022120213434083974, -0.00170799494756913, -0.0013605534420981147, -0.0011210832668903468, -0.000955644958807845, -0.0008394585885454476, -0.0007533726005572827, -0.0006816800831245773])","array('d', [0.9659654657032828, 0.9379315288258309, 0.911831438443226, 0.8877867962843145, 0.8657967626526842, 0.8457865661057831, 0.827640748232401, 0.8112244487519384, 0.7963964125791142, 0.7830166519689676, 0.7709508018556296, 0.7600724862754391, 0.7502645121833875, 0.7414193819361509, 0.7334394136706903, 0.7216329065050995])",-247.73529932688388,-353.472459546391,-49.840572846679166,0.45231240612492346,-0.005587058205645723,0.8457865661057831,25.000000246204163,-1.0,"[-358.6220862823478, -254.15932258746702, 49.994977925129625]","[-356.4887180261655, -238.05130184077538, 61.656041663385466]","[-340.3441796741633, -247.2469179480385, 54.25370920607358]",10000000000.0,0.03996992111206055
6,15.939172983169556,-358.92041015625,-254.66119384765625,50.04716491699219,0.6216117739677426,0.031015392392873698,0.9325578371670584,23.1518856086199,"array('d', [-256.80633544921875, -254.7843787344259, -252.80218840213047, -250.85827647159536, -248.95059686414572, -247.0768317919506, -245.23456214000635, -243.4213721434652, -241.6349142266054, -239.87294853083938, -238.13336582722866, -236.4141992543521, -234.7136284008734, -233.0299780755391, -231.361713369147, -230.35512320495152])","array('d', [-360.6557922363281, -359.1877325932692, -357.66527788612086, -356.0937580561276, -354.4782306012709, -352.8233842251511, -351.1334932107301, -349.412409321444, -347.66357683327584, -345.89005996256975, -344.0945757732471, -342.27952848335525, -340.4470429410922, -338.59899616337833, -336.7370464764268, -335.5912020369521])","array('d', [-50.046791076660156, -49.969321271495396, -49.91767313302041, -49.88273892765826, -49.858744839498236, -49.8419927250784, -49.8300872549994, -49.8214581940096, -49.81506303306667, -49.8102005928876, -49.806393489914846, -49.80331375946795, -49.80073581921956, -49.798506920685696, -49.79652882129607, -49.79544149353585])","array('d', [0.6354686021804805, 0.6029223055046139, 0.5659253496834035, 0.5267155834314429, 0.4869366055212411, 0.4477552486090162, 0.40997019684223795, 0.37410233600073606, 0.34046591260287457, 0.30922298679859, 0.28042451485871295, 0.25404117699305107, 0.22998650843095286, 0.20813430913632097, 0.1883318100978481, 0.17040968421179342])","array('d', [-0.0374049134552479, -0.024791680747775213, -0.016665445602206834, -0.011371179763453601, -0.007882591674743094, -0.005557982175466475, -0.003992545375623025, -0.0029284683077119554, -0.002199821371908148, -0.0016984963269182983, -0.001352951588392758, -0.0011148061150457157, -0.0009502908736207279, -0.0008347555335968097, -0.0007491521646656085, -0.0006778612744668258])","array('d', [0.956932918229375, 0.9289790856827369, 0.9030345803447487, 0.8791879158608791, 0.8574151593035904, 0.8376263165166973, 0.8196963724656088, 0.8034847955821353, 0.788847256330731, 0.7756424062185135, 0.763735641474079, 0.7530010728744233, 0.7433224476636013, 0.7345934670165344, 0.7267177570501624, 0.7150649356119385])",-247.0768317919506,-352.8233842251511,-49.8419927250784,0.4477552486090162,-0.005557982175466475,0.8376263165166973,25.000000246211723,-1.0,"[-358.0271675345702, -253.45705352569576, 50.00064928689371]","[-355.74049231940353, -237.26364287642593, 61.51344946775576]","[-339.6852880265971, -246.6602705284255, 54.16948569565508]",10000000000.0,0.0342252254486084
7,15.968104124069214,-358.3270568847656,-253.95733642578125,50.04884338378906,0.6079581379890439,0.02627066150307655,0.9248799840596059,23.161658567759897,"array('d', [-256.4451599121094, -254.4295853784633, -252.4539236979961, -250.51661082721742, -248.6155471919781, -246.7483786056864, -244.91266225403035, -243.1059679417813, -241.325940312535, -239.57033639890088, -237.8370470477338, -236.1241075422843, -234.42970085336665, -232.75215580133136, -231.0899416923547, -230.08699505195224])","array('d', [-360.3709411621094, -358.89410151980155, -357.36317063316324, -355.7835162846523, -354.16020524398004, -352.49791762646055, -350.8009088554854, -349.0730065913125, -347.31762895117413, -345.53781389119393, -343.73625326985234, -341.9153278035932, -340.07714086983583, -338.22355016467, -336.3561968231687, -335.2071472140299])","array('d', [-50.046974182128906, -49.97005876282721, -49.91878957361953, -49.884116785052996, -49.8603049978311, -49.843681612783186, -49.831868362689825, -49.823306483458815, -49.816961241655605, -49.8121367776389, -49.80835938055413, -49.805303637788924, -49.80274573854224, -49.80053414236751, -49.798571387210096, -49.79749248467444])","array('d', [0.6351189017295835, 0.6017816815585628, 0.5642501375998632, 0.5247086510224384, 0.4847531545532242, 0.44551052822011156, 0.40774713071958446, 0.3719582343513098, 0.33843806781902125, 0.3073332324965121, 0.2786829245531508, 0.25244909025794454, 0.228539050790494, 0.20682254142048911, 0.18714461373680732, 0.16933546442452263])","array('d', [-0.03714009374380101, -0.024611362105781725, -0.016541596158901394, -0.011285242344361722, -0.00782225440019104, -0.005515043350043653, -0.003961508807508053, -0.0029056225058264264, -0.0021826372815056646, -0.0016852340068149144, -0.0013424038854245946, -0.0011061323964705976, -0.0009429102117128975, -0.0008282792165722386, -0.000743341979787461, -0.0006726040013116559])","array('d', [0.9525704542782645, 0.9246608897932462, 0.8987958487921467, 0.8750480929426544, 0.8533827993459846, 0.8337028442331985, 0.8158787616373839, 0.7997673945180316, 0.7852230038595709, 0.7721036329991543, 0.7602745945428726, 0.7496102548866461, 0.739994828944269, 0.7313226060965241, 0.7234978507998975, 0.7119201545693489])",-246.7483786056864,-352.49791762646055,-49.843681612783186,0.44551052822011156,-0.005515043350043653,0.8337028442331985,25.000000246215244,-1.0,"[-358.0271675345702, -253.45705352569576, 50.00064928689371]","[-355.74049231940353, -237.26364287642593, 61.51344946775576]","[-339.6852880265971, -246.6602705284255, 54.16948569565508]",10000000000.0,0.02411365509033203
8,15.991310119628906,-358.0274353027344,-253.60740661621094,50.05059814453125,0.5995903015136717,0.023571250960230695,0.9210294644024709,23.167155457833246,"array('d', [-255.7265167236328, -253.72310483083575, -251.7597838274556, -249.83484572123783, -247.9460967408558, -246.09112281249446, -244.26744521312656, -242.47261460540136, -240.70426811562922, -238.9601631691356, -237.23819620498816, -235.5364113091222, -233.85300200926227, -232.18630838897573, -230.5348110035426, -229.53828773143238])","array('d', [-359.79571533203125, -358.3022844052871, -356.75550012723363, -355.16076203343374, -353.523125601495, -351.8472335441699, -350.13728994119197, -348.39706515895125, -346.62991902032024, -344.83883310592194, -343.0264464419618, -341.1950912734062, -339.34682718524556, -337.4834727656675, -335.60663452837525, -334.4519786576658])","array('d', [-50.047019958496094, -49.97267701884769, -49.92313845079609, -49.88964427136636, -49.86664596512008, -49.85059230898184, -49.83918456008679, -49.83091658338541, -49.824788863724926, -49.82012938566751, -49.816480762704245, -49.81352885001767, -49.81105761751228, -49.80892080901135, -49.80702436567754, -49.8059818901794])","array('d', [0.6329787373542781, 0.5983193815954041, 0.5599376698101641, 0.5199124110044855, 0.4797483301426869, 0.44049756858895656, 0.40286707389685833, 0.3673057341005409, 0.3340720013339192, 0.3032851917246103, 0.2749640072174899, 0.2490553881835232, 0.22545617000115883, 0.2040294189865742, 0.18461683506508708, 0.16704823549077708])","array('d', [-0.035902556031942374, -0.023783107277961922, -0.015980603272756504, -0.010900319937852822, -0.00755440948006422, -0.005325784151987402, -0.003825475541699031, -0.002805926213185653, -0.0021078989603957312, -0.0016276963785224882, -0.0012967242868439845, -0.0010686117646015211, -0.0009110037601988777, -0.0008002901569836351, -0.000718233511112898, -0.0006498849173066301])","array('d', [0.9442606727269026, 0.9165166652344524, 0.8908701187601665, 0.8673660167949434, 0.8459510577971975, 0.8265165166827342, 0.8089260593413198, 0.7930327908151759, 0.7786892603070472, 0.7657530955465421, 0.7540900144825744, 0.7435752986539358, 0.734094378472801, 0.7255429106974679, 0.717826565727475, 0.7064087208793891])",-246.09112281249446,-351.8472335441699,-49.85059230898184,0.44049756858895656,-0.005325784151987402,0.8265165166827342,25.000000246221504,-1.0,"[-357.4244727796022, -252.7599269477514, 50.009441924036906]","[-354.98505911148646, -236.42964720894886, 61.29532800392737]","[-339.01959940442197, -246.07150357517347, 54.07461459352295]",10000000000.0,0.02178049087524414
9,16.02383327484131,-357.4223937988281,-252.91160583496094,50.05643081665039,0.5805408358573911,0.017882997170090748,0.9129548231747484,23.176988120904408,"array('d', [-255.3701629638672, -253.37255371876302, -251.4150062722474, -249.4957481243085, -247.61255000303632, -245.76297980184185, -243.94455169629074, -242.15481620186492, -240.391414704074, -238.6521115998399, -236.9348118556974, -235.2375688382285, -233.55858555004406, -231.8962113614465, -230.24893567910635, -229.25490810024456])","array('d', [-359.50592041015625, -358.00460863017804, -356.4504680968068, -354.84887320040536, -353.2048443273125, -351.52298418406605, -349.80745569431235, -348.0619892841122, -346.2899073620588, -344.4941572409098, -342.677347029009, -340.8417813689274, -338.98949539435273, -337.1222861608952, -335.2417413010701, -334.08491939886727])","array('d', [-50.046966552734375, -49.975187413605525, -49.92736337119983, -49.89503105060193, -49.872831351688866, -49.85733507297867, -49.846322872874076, -49.83834086445089, -49.8324243311673, -49.82792472693272, -49.82440068324411, -49.82154908474581, -49.819161503181704, -49.81709683756097, -49.81526434467247, -49.81425700462627])","array('d', [0.6303263306617736, 0.5952303132425473, 0.5566213099890843, 0.5165238895281679, 0.47639854186389696, 0.43726279780654753, 0.399797173994512, 0.3644306737236597, 0.33140695600625303, 0.30083446551632453, 0.27272406188358744, 0.24701721180884334, 0.22360716617032048, 0.20235495280397117, 0.18310153693521453, 0.16567713691925903])","array('d', [-0.034666027873754376, -0.022960772520926636, -0.015426571444298428, -0.010521852468061943, -0.0072920275752779646, -0.005140961134419219, -0.0036929832803862524, -0.002709048495270315, -0.0020354200573228735, -0.001571996105382653, -0.0012525684530971628, -0.0010323839389593944, -0.0008802199840618239, -0.0007732963842328616, -0.0006940205247340886, -0.0006279760992626632])","array('d', [0.9402613202717641, 0.9126860647263755, 0.887218587020071, 0.8638929238933128, 0.8426492524940562, 0.8233753257369348, 0.8059331925088312, 0.7901754994997495, 0.7759550188922948, 0.7631299882608652, 0.7515669436470028, 0.7411420844384958, 0.7317417910726418, 0.7232626578796538, 0.7156112479434313, 0.7042891492101423])",-245.76297980184185,-351.52298418406605,-49.85733507297867,0.43726279780654753,-0.005140961134419219,0.8233753257369348,25.000000246224175,-1.0,"[-356.8138646437225, -252.0683331545339, 50.02194695457959]","[-354.2197203717607, -235.5650524266767, 61.01795262544867]","[-338.3463645806502, -245.48486937718843, 53.9728261115272]",10000000000.0,0.031038522720336914
