,x,y,z,phi,theta,psi,u_phi,u_theta,u_psi,v_cmd
0,-275.5130310058594,-149.16299438476562,50.10013198852539,0.6311299127119175,0.03559816239225163,1.4503217481675692,0.0005926641169935465,-0.11206217855215075,-0.18874254822731018,23.026354366176786
1,-275.42742919921875,-148.7116241455078,50.09895324707031,0.6310757375731787,0.036022820594699516,1.4458203596427126,0.005061822943389416,-0.11428551375865939,-0.19320973753929135,23.02623243152322
2,-275.3398742675781,-148.26051330566406,50.09762954711914,0.6311209622349987,0.03630706647892587,1.4411876392061698,0.010722169652581215,-0.12318132817745212,-0.19398576021194455,23.02507176262946
3,-275.25030517578125,-147.80967712402344,50.096195220947266,0.6312002374100781,0.03649669504986876,1.436343601890956,0.013211242854595184,-0.1338765323162079,-0.1997408419847488,23.024917590282005
4,-275.0641174316406,-146.9046173095703,50.09246826171875,0.6316872043497683,0.036649999250603305,1.4266905353962358,0.023588642477989197,-0.13878467679023745,-0.1944160163402557,23.027621928870467
5,-274.96759033203125,-146.45065307617188,50.09035110473633,0.6320470836604427,0.03691685662698842,1.4218064664360373,0.026692945510149002,-0.1346770226955414,-0.20275302231311795,23.028873165974336
6,-274.8694763183594,-145.99717712402344,50.08857727050781,0.632034631942603,0.037831038090314836,1.4160630423877059,0.012552624568343163,-0.13445721566677096,-0.25074049830436707,23.02978193975249
7,-274.7701416015625,-145.54415893554688,50.08740997314453,0.6314014770303769,0.0398162776407184,1.4087646039341575,-0.015237905085086823,-0.13581880927085882,-0.3448185324668884,23.0314654940185
8,-274.568603515625,-144.63925170898438,50.088497161865234,0.6280057898438329,0.0471118948613613,1.3885107858904697,-0.07675638794898987,-0.15586422383785253,-0.5645958781242371,23.031986094541914
9,-274.46649169921875,-144.18736267089844,50.09047317504883,0.6253612102284295,0.052278972276148514,1.3755247698944892,-0.09972415864467621,-0.1714491546154023,-0.6701840758323669,23.027437222820677
10,-274.36346435546875,-143.73585510253906,50.093448638916016,0.6223842416242986,0.05831766160204362,1.3609062941920993,-0.10993322730064392,-0.1827518194913865,-0.7639440894126892,23.019697569974383
11,-274.25927734375,-143.2847442626953,50.097408294677734,0.6193063613197194,0.06498189017892643,1.3449608242199897,-0.10653505474328995,-0.19234272837638866,-0.8380709886550903,23.005586876059066
12,-274.04681396484375,-142.3806915283203,50.10908889770508,0.6132519946925131,0.07937015297547617,1.3099825990223666,-0.08277955651283264,-0.2172716259956361,-0.9412612318992615,22.95756803730079
13,-273.9380187988281,-141.9281005859375,50.11646270751953,0.6106363479557675,0.08647140467122275,1.291455471910874,-0.056920815259218216,-0.24056196212768566,-0.9617522358894348,22.924951372548303
14,-273.8270263671875,-141.47637939453125,50.1245002746582,0.6085179872694937,0.09318682930955755,1.2726758011194117,-0.02497946470975876,-0.2618485391139985,-0.961691677570343,22.885869624923526
15,-273.7135925292969,-141.0256805419922,50.133155822753906,0.6068384826207641,0.09949215058956498,1.2538626744834243,0.004907018505036831,-0.27776610851287853,-0.9512121081352234,22.8412547262722
16,-273.47796630859375,-140.12786865234375,50.15283203125,0.6049603916847209,0.11053007153596443,1.216964409385408,0.06281524896621704,-0.30482953786849987,-0.8985922932624817,22.739788024463884
17,-273.35516357421875,-139.6810302734375,50.16341781616211,0.6047708817596384,0.11503786279399003,1.1991603396800108,0.08946612477302551,-0.31927508115768444,-0.8600392937660217,22.688043570259165
18,-273.2287292480469,-139.2357635498047,50.17449188232422,0.6051134734470048,0.11882582433368741,1.1819191689426103,0.11624102294445038,-0.3324219286441804,-0.8157766461372375,22.634520641220963
