,weight,safe_distance,x,y,z,radii
0,1e-10,4.5,10000,10000,44,4
1,1e-10,4.5,10000,10000,47,8
2,1e-10,4.5,10000,10000,64,3
3,1e-10,4.5,10000,10000,67,4
4,1e-10,4.5,10000,10000,67,7
5,1e-10,4.5,10000,10000,9,6
6,1e-10,4.5,10000,10000,21,3
7,1e-10,4.5,10000,10000,36,6
8,1e-10,4.5,10000,10000,70,8
9,1e-10,4.5,10000,10000,12,9
10,1e-10,4.5,10000,10000,58,3
11,1e-10,4.5,10000,10000,65,5
12,1e-10,4.5,10000,10000,39,6
13,1e-10,4.5,10000,10000,46,3
14,1e-10,4.5,10000,10000,37,4
