,time,x,y,z,roll,pitch,yaw,x_traj,y_traj,z_traj,roll_traj,pitch_traj,yaw_traj,x_cmd,y_cmd,z_cmd,roll_cmd,pitch_cmd,yaw_cmd
445,1708915964.2810266,-109.32633209228516,-60.298065185546875,56.41976547241211,-0.6305846467274109,-0.04791698421754555,0.544431519016252,"array('d', [-15.259921073913574, -13.636287399613, -11.964772711535252, -10.24468867266127, -8.47750030113561, -6.6667264502400645, -4.817785470740434, -2.973321349667716, -1.142033969491866, 0.664938642856463, 2.4309768689383446, 4.127479562502683, 5.700408120963423, 7.042605753633849, 8.117218639828597, 9.199265072980568])","array('d', [-65.9591293334961, -63.4379130879069, -60.946946997512924, -58.489172620486954, -56.06514517490158, -53.67347320785079, -51.31233239347495, -49.02528977416416, -46.811546020111614, -44.673640641597004, -42.62132128151612, -40.67908557361896, -38.90122666943001, -37.402106964301346, -36.21678989106266, -35.03824174607779])","array('d', [-56.13198471069336, -56.213983995046604, -56.23836295022232, -56.221128727507086, -56.19165486035095, -56.16374206582569, -56.13550176228286, -56.10775315745965, -56.08050803755325, -56.05386137428283, -56.02799832637786, -56.00329867170789, -55.9805402675159, -55.96132932928279, -55.94644712403102, -55.932590547178236])","array('d', [-0.4971656179294316, -0.5245945482608133, -0.5447474982256352, -0.5372956884578448, -0.5081203789216833, -0.4638865817922655, -0.4107140957183459, -0.3536307632153092, -0.2966704018905838, -0.24317397420429246, -0.19601063118740042, -0.15759204882165434, -0.1295310503067006, -0.11199237774639056, -0.10220026779047123, -0.09247461427311013])","array('d', [0.037598842472033066, 0.017411852190649484, -0.0008540935655300248, -0.010474999346573961, -0.009195900603923035, -0.00940933688994326, -0.009423288923506289, -0.009463940718420369, -0.009500921733838775, -0.00953628220103055, -0.009566863200141124, -0.009587817395977064, -0.009586319510460942, -0.009509046228132693, -0.009100788469561458, -0.008234599284897075])","array('d', [0.5630648236477132, 0.5814050040452593, 0.6007785473156874, 0.6204226911847566, 0.6392544174295649, 0.6565168873906875, 0.6717950743187607, 0.6852001648436604, 0.6966958720770987, 0.7063771501468362, 0.7144500079833974, 0.7212345303088791, 0.7271987381463222, 0.7331076828797325, 0.7396942339709167, 0.7456761822390172])",-11.964772711535252,-60.946946997512924,-56.23836295022232,-0.5447474982256352,-0.0008540935655300248,0.6007785473156874
446,1708915964.3159344,-108.7262954711914,-59.73802185058594,56.394309997558594,-0.6340344024297998,-0.04853707495042426,0.5452679071079358,"array('d', [-14.97227954864502, -13.350271806468918, -11.680077728367294, -9.960992193962591, -8.194485917889265, -6.384122625013976, -4.537710613336791, -2.695550471006923, -0.8663919557863282, 0.9385916464658388, 2.702762497966656, 4.397522946256193, 5.9688707901287374, 7.309742835704358, 8.384719530862775, 9.46715249542191])","array('d', [-65.66798400878906, -63.145655236168636, -60.65378624382859, -58.19531755399578, -55.770792314593514, -53.378810227444475, -51.02055884030105, -48.73647447867711, -46.52573203172251, -44.39084005267124, -42.34150625661944, -40.40216941992997, -38.627022474519066, -37.1302384576782, -35.94525135942701, -34.76705827021575])","array('d', [-56.127296447753906, -56.20722544501708, -56.22973048933575, -56.211749110985544, -56.18238477646323, -56.154462214336434, -56.126265035355196, -56.09855662019041, -56.07135117383004, -56.04474322152188, -56.01891767854953, -55.994253697587446, -55.97152783012228, -55.95234342484375, -55.937459887000486, -55.92360031751003])","array('d', [-0.5002079647923211, -0.5273473777967765, -0.547655588166537, -0.5401293929015892, -0.5107073568342693, -0.46612886439525286, -0.4125772672752874, -0.3551207471943983, -0.2978206713035774, -0.24403431285477767, -0.19664123703389752, -0.1580598187942938, -0.1299046490806759, -0.11233469843956716, -0.10254632524067772, -0.09278773996154023])","array('d', [0.036873386478505736, 0.016755432403448945, -0.0014480468001886906, -0.010390472571929193, -0.009205826261698165, -0.009406142119446006, -0.009421766487486098, -0.009462205784850717, -0.009499256573759534, -0.009534668826548576, -0.009565328785910956, -0.009586409772202134, -0.009585173049585746, -0.009508708065180503, -0.009102754018255346, -0.008236377794127427])","array('d', [0.5623451008308266, 0.5808099149894189, 0.600308790048261, 0.620080888378752, 0.6390307734268383, 0.6563942930364353, 0.6717739738979625, 0.6852612724459196, 0.6968218996124322, 0.706553516466654, 0.7146651052778908, 0.7214799395222744, 0.7274696335976145, 0.7334040140171341, 0.740011914594325, 0.7460142474465213])",-11.680077728367294,-60.65378624382859,-56.22973048933575,-0.547655588166537,-0.0014480468001886906,0.600308790048261
447,1708915964.3363607,-108.42636108398438,-59.45758819580078,56.38154220581055,-0.6357436869276927,-0.04873824758437049,0.5458371830127922,"array('d', [-14.685015678405762, -13.064553151273511, -11.395606641533378, -9.677459612900405, -7.911593645370111, -6.101620151371547, -4.2577768093369714, -2.417980004118881, -0.5910271035322754, 1.2118760805036006, 2.9740762752710097, 4.6669825367640785, 6.23663386969094, 7.576069916122107, 8.651330884977895, 9.734056309232594])","array('d', [-65.37657165527344, -62.85318310131734, -60.36046195818738, -57.90134193514282, -55.47634948877599, -53.084073005997, -50.728762767988705, -48.4476713738309, -46.239948421469656, -44.10807207107808, -42.06171098015233, -40.12524624188001, -38.352772467679344, -36.85827748643892, -35.673548302750476, -34.49562395276589])","array('d', [-56.12211608886719, -56.19990009448586, -56.220463636673955, -56.20171018971031, -56.172463577915195, -56.144535265089175, -56.116386347487385, -56.08872314803877, -56.06156236271111, -56.03499805460539, -56.00921488344154, -55.984591356350535, -55.961902699058896, -55.94274939882009, -55.927869126717034, -55.91401175967876])","array('d', [-0.503191220682744, -0.5300467396037968, -0.5504382348709028, -0.5427854115648523, -0.5130844630872683, -0.4681458994992761, -0.41421201888512243, -0.3563870139595277, -0.29875599072451703, -0.24468928929284448, -0.19707402132588053, -0.15833280650270112, -0.13008062383561209, -0.11247196262166392, -0.10268303401418703, -0.09291143915906715])","array('d', [0.0361217672853359, 0.016075339172126182, -0.002063420654054795, -0.01030156508357367, -0.009214618181484797, -0.009401409773240697, -0.009418745050861724, -0.0094589464749697, -0.00949604327821474, -0.009531475801543303, -0.009562169664644913, -0.009583301463746337, -0.009582161151923408, -0.009506052145450253, -0.009101307418042891, -0.008235068927937022])","array('d', [0.5616585783004802, 0.5802460016908793, 0.5998666208942203, 0.6197603097838601, 0.6388202271032442, 0.6562759096065279, 0.6717487427065645, 0.68531003452518, 0.6969276744131966, 0.7067020380188206, 0.7148449504695101, 0.7216825940288165, 0.7276896619923654, 0.7336396708553566, 0.7402560678873727, 0.7462664539603908])",-11.395606641533378,-60.36046195818738,-56.220463636673955,-0.5504382348709028,-0.002063420654054795,0.5998666208942203
448,1708915964.360182,-108.12648010253906,-59.17686080932617,56.3687629699707,-0.6374017470048616,-0.04903455791536814,0.5465173181381989,"array('d', [-14.398115158081055, -12.779213271463654, -11.111538532864472, -9.394357545501443, -7.629158570287883, -5.819600286709284, -3.9783492060217127, -2.140935914001805, -0.31620544368305975, 1.4846037059662116, 3.2448226296572327, 4.935866895633907, 6.503816540607285, 7.841813884325055, 8.917359266265505, 10.000378720183])","array('d', [-65.08489227294922, -62.560423531107176, -60.066833349244895, -57.607044656107206, -55.18156551972372, -52.78897550669679, -50.43659040864372, -48.1584771814906, -45.95376061243089, -43.82488877700479, -41.781491456953376, -39.84789215432577, -38.078087185688496, -36.58587912168756, -35.401408073793526, -34.22375401505399])","array('d', [-56.11688232421875, -56.19206499283657, -56.2102740166775, -56.19058500338966, -56.16148354859747, -56.13355127767351, -56.1054558216404, -56.077842512111836, -56.050731028322474, -56.02421489361712, -55.99847848784899, -55.973899606198195, -55.95125201318042, -55.93213305401336, -55.91725853861535, -55.90340566899537])","array('d', [-0.5061148334592533, -0.5326921340846305, -0.5531895246797013, -0.5454298246907557, -0.5154654909007642, -0.4701780583100519, -0.41586939193949707, -0.35768058226726285, -0.2997210792589, -0.2453747380916422, -0.1975365557742829, -0.1586336957252855, -0.13028186455211943, -0.11263153117644716, -0.10283932665357627, -0.09305285856879907])","array('d', [0.03521026060512076, 0.015250573746854163, -0.0028096993320579906, -0.010193260778211727, -0.009224180130964635, -0.009394757157282562, -0.009414148812763473, -0.009454060007646141, -0.009491201592730264, -0.009526647963398062, -0.009557371526401452, -0.009578552690242733, -0.009577514195107238, -0.009501788039370197, -0.009098353481204005, -0.008232396189686294])","array('d', [0.5609651261921742, 0.5796730919384009, 0.5994139635755853, 0.6194286870816033, 0.6385987954133555, 0.6561472614894376, 0.6717143879443929, 0.6853509148549369, 0.6970268430948057, 0.7068452225379631, 0.7150206969713597, 0.7218823478758443, 0.7279079619161457, 0.7338748218117135, 0.7405010133142248, 0.7465206065039375])",-11.111538532864472,-60.066833349244895,-56.2102740166775,-0.5531895246797013,-0.0028096993320579906,0.5994139635755853
449,1708915964.3757792,-107.82666015625,-58.895851135253906,56.355979919433594,-0.6390738784305487,-0.04935868740043653,0.5471343877940342,"array('d', [-13.827083587646484, -12.211485014979102, -10.546520442931236, -8.831417353324623, -7.067677352423178, -5.259056091662225, -3.423111471783809, -1.5905713475498828, 0.2296198716422244, 2.026155108247511, 3.782331839235611, 5.46957725902525, 7.034053502326254, 8.369111087131522, 9.445189301137313, 10.528754496372247])","array('d', [-64.50286865234375, -61.976134976352675, -59.480705012802446, -57.01948084813881, -54.592938300983036, -52.199640940005445, -49.85308059810904, -47.58090347015884, -45.38218372738848, -43.2593079912432, -41.221826873947215, -39.29394723974475, -37.52946749204021, -36.04181904897546, -34.85783184187877, -33.68067972918517])","array('d', [-56.104774475097656, -56.1747360265902, -56.188219441333146, -56.16665648592634, -56.137854875160315, -56.1099239314288, -56.08194491148928, -56.054440811050576, -56.02743720382086, -56.00102653011956, -55.97539256465034, -55.95091159214607, -55.92835429035231, -55.90931141685209, -55.89445509925727, -55.88061819324106])","array('d', [-0.5120441237726783, -0.5380571783187648, -0.558810401152868, -0.5508587460723987, -0.5203693256285805, -0.4743715940490745, -0.41929260557611414, -0.36035181837075286, -0.3017096203659171, -0.24677774033025163, -0.19846695130849, -0.1592132473309712, -0.13063410536820086, -0.1128742685441224, -0.10305828395478782, -0.09325097930243377])","array('d', [0.03338084475046774, 0.013595249679574886, -0.004307498602873778, -0.009973428818000186, -0.009240172418123402, -0.009378419360518404, -0.009401863185902071, -0.009441174790067574, -0.00947837489833841, -0.009513816661053604, -0.009544557958118363, -0.009565773469166186, -0.009564806438496165, -0.009489494615357136, -0.009087868512806702, -0.008222909255358539])","array('d', [0.5595060766068227, 0.5784596943926505, 0.5984465979726149, 0.6187104496379603, 0.6381081508220583, 0.6558485825058833, 0.6716105290819512, 0.685402345095167, 0.697198339362058, 0.7071070193228418, 0.7153487356207044, 0.7222583655555481, 0.7283197681793635, 0.7343173942092055, 0.7409578932864455, 0.7469903855884183])",-10.546520442931236,-59.480705012802446,-56.188219441333146,-0.558810401152868,-0.004307498602873778,0.5984465979726149
450,1708915964.4131835,-107.22105407714844,-58.32794952392578,56.330657958984375,-0.6425251933127645,-0.0500905120063512,0.5483197904163011,"array('d', [-13.54281997680664, -11.928833044650828, -10.265180012059739, -8.551066250829571, -6.787999095067028, -4.9797810421259046, -3.14633136459061, -1.3160645374287574, 0.5020247321247405, 2.296594358725458, 4.0509239382169095, 5.736444374890362, 7.299354117808706, 8.633096714360287, 9.70953489877068, 10.793481161877816])","array('d', [-64.21240997314453, -61.68458309792815, -59.18826839229277, -56.72636215463394, -54.29932978342236, -51.90572831746978, -49.56203123729833, -47.29278406634628, -45.09703586521293, -42.97714260509294, -40.942615401714406, -39.01760291639461, -37.25580445657009, -35.77046426859451, -34.58680429681392, -33.41000307163463])","array('d', [-56.097877502441406, -56.16549939153865, -56.176865240382696, -56.1544623556735, -56.12579524997512, -56.097865449968715, -56.06994149842948, -56.04248915091503, -56.01553656099087, -55.98917566679977, -55.96358990993944, -55.939154765761586, -55.91663921874944, -55.897630349235655, -55.88277814705017, -55.86894288373046])","array('d', [-0.5149925275287761, -0.5407250046074846, -0.5616472688382622, -0.5536308057649384, -0.5229008019951308, -0.47656297484391325, -0.421109294922677, -0.3618005425322283, -0.30282429829317736, -0.24760791560479428, -0.19907187353022188, -0.1596582892699557, -0.13098613396076486, -0.11319474303291674, -0.10338207225834202, -0.0935439550356787])","array('d', [0.03256108034051002, 0.012853496100841176, -0.004978665044644361, -0.009875063317425336, -0.009247107028871519, -0.009370962312759768, -0.009396212982938355, -0.00943529109076438, -0.009472553700529327, -0.009508043804841793, -0.009538869519041556, -0.009560238105069481, -0.009559616808454073, -0.009485378419698157, -0.009086789561981, -0.008221933044696757])","array('d', [0.5587949192268015, 0.5778712881393948, 0.5979821118898224, 0.6183730861388719, 0.637888154386783, 0.6557286244540448, 0.6715919091304634, 0.6854654584423238, 0.6973257441351701, 0.7072840883317849, 0.7155638622014492, 0.7225031287072592, 0.7285892937250007, 0.734611478285036, 0.7412719622620046, 0.7473235304043514])",-10.265180012059739,-59.18826839229277,-56.176865240382696,-0.5616472688382622,-0.004978665044644361,0.5979821118898224
451,1708915964.4379797,-106.9061050415039,-58.031951904296875,56.317447662353516,-0.6443010399538537,-0.05043132827793832,0.5490464807914192,"array('d', [-13.258779525756836, -11.646422695578728, -9.98409017348737, -8.270970271181925, -6.508581776775625, -4.7007772301126725, -2.8698895891568066, -1.041969955747536, 0.7739363668960263, 2.5664525615131857, 4.318841102806131, 6.002538108180103, 7.563781499323434, 8.896115002258494, 9.972855971654486, 11.05711428182807])","array('d', [-63.921573638916016, -61.39265136127966, -58.89544955938436, -56.43285846801911, -54.005332450146085, -51.61141915245621, -49.2706384760461, -47.004366257328655, -44.81162556619742, -42.69474111125362, -40.663184057989525, -38.741044505553326, -36.981922535059915, -35.49887609375304, -34.315491456687695, -33.13897766206348])","array('d', [-56.090423583984375, -56.15593149366887, -56.165384063527, -56.14222429605821, -56.11368270429151, -56.085757932879176, -56.05789189804898, -56.03049439314042, -56.0035958813912, -55.97728784004641, -55.95175338338379, -55.92736720447506, -55.904896676512685, -55.88592543036198, -55.87108163060513, -55.85725325250628])","array('d', [-0.5180032157218313, -0.5434491881899458, -0.5644995324400979, -0.5563806972078443, -0.5253785529446412, -0.47867607471666296, -0.42282971819623527, -0.36314038372835555, -0.3038211893525796, -0.2483133147803361, -0.19954510273049741, -0.159963102196786, -0.131186865877622, -0.11335157714048531, -0.10353520144938338, -0.09368251203937387])","array('d', [0.031820402712081475, 0.012183303207778353, -0.005585080693152989, -0.00978486802182184, -0.009252035621892103, -0.009362897925952761, -0.00938974844923958, -0.009428596447455287, -0.00946589074134877, -0.009501393060451314, -0.009532247677663868, -0.009553669928151633, -0.009553168642012973, -0.009479372432982617, -0.009082267314269706, -0.008217841262951641])","array('d', [0.5580766743269354, 0.5772788027280843, 0.5975155705683548, 0.6180339456361266, 0.6376650579347314, 0.6556030128179995, 0.671564940932547, 0.6855168573959937, 0.6974375993651722, 0.7074413973923742, 0.7157546297617604, 0.7227184072765311, 0.728823349630076, 0.7348624455524418, 0.7415325423431763, 0.7475931324269903])",-9.98409017348737,-58.89544955938436,-56.165384063527,-0.5644995324400979,-0.005585080693152989,0.5975155705683548
452,1708915964.4757514,-106.60391235351562,-57.74756622314453,56.30472946166992,-0.645993751916905,-0.05079720174680024,0.5497585940984157,"array('d', [-12.974944114685059, -11.364240460958461, -9.703254586756703, -7.991155907368686, -6.229473301242935, -4.422107742194863, -2.5938182189627255, -0.7682778464878758, 1.0454173799049808, 2.8358557364694805, 4.586282415785291, 6.26813867548325, 7.827702011542584, 9.158616722618536, 10.235663171275828, 11.320238031050717])","array('d', [-63.630348205566406, -61.100322513143134, -58.60221910189027, -56.13892469026258, -53.710885661861006, -51.316641409331034, -48.9787783537146, -46.71548338543946, -44.525754082789085, -42.41188416803861, -40.38330493833094, -38.46404779891905, -36.707613155358494, -35.22687159943402, -34.043764892952105, -32.867542833740636])","array('d', [-56.082794189453125, -56.146322382498724, -56.153983212608225, -56.13011484100381, -56.10169147665051, -56.07377232624759, -56.045963870667144, -56.01862103050824, -55.99177640421388, -55.96552103485557, -55.94003771056212, -55.91570035103415, -55.89327473687477, -55.87434109257205, -55.85950573409485, -55.84568437330266])","array('d', [-0.5209497810366365, -0.5461153509874738, -0.5673187489623441, -0.5591192811628412, -0.5278619136771158, -0.48080684169378646, -0.4245757999949992, -0.36451081139387626, -0.30485126817174896, -0.24905272338281295, -0.20005180327859948, -0.16029985319294837, -0.13141737791072391, -0.11353582491861176, -0.10371345772801002, -0.09384380496904626])","array('d', [0.03112677741141645, 0.011555685025343827, -0.006152973144866782, -0.009700274603078856, -0.009256324411351928, -0.009355063867306062, -0.009383391383008581, -0.009422023832364125, -0.009459345436323372, -0.009494857921134423, -0.00952573791326613, -0.009547207111549619, -0.009546809395460803, -0.009473406754580747, -0.009077658312598144, -0.008213670984319719])","array('d', [0.5573516701273089, 0.5766772898387151, 0.5970383831933742, 0.6176836008367957, 0.6374309993731546, 0.6554671846192008, 0.6715291717417119, 0.685560956863578, 0.6975436716951549, 0.7075944174337698, 0.7159425621917297, 0.722932266494852, 0.7290573970740021, 0.7351149236582537, 0.7417962622672103, 0.7478673550381016])",-9.703254586756703,-58.60221910189027,-56.153983212608225,-0.5673187489623441,-0.006152973144866782,0.5970383831933742
